a	あ	ア
i	い	イ
u	う	ウ
e	え	エ
o	お	オ

ka	か	カ
ki	き	キ
ku	く	ク
ke	け	ケ
ko	こ	コ

sa	さ	サ
si	し	シ
su	す	ス
se	せ	セ
so	そ	ソ

ta	た	タ
ti	ち	チ
tu	つ	ツ
te	て	テ
to	と	ト

na	な	ナ
ni	に	ニ
nu	ぬ	ヌ
ne	ね	ネ
no	の	ノ

ha	は	ハ
hi	ひ	ヒ
hu	ふ	フ
he	へ	ヘ
ho	ほ	ホ

ma	ま	マ
mi	み	ミ
mu	む	ム
me	め	メ
mo	も	モ

ya	や	ヤ
yu	ゆ	ユ
yo	よ	ヨ

ra	ら	ラ
ri	り	リ
ru	る	ル
re	れ	レ
ro	ろ	ロ

wa	わ	ワ
wi	うぃ	ウィ
we	うぇ	ウェ
wo	を	ヲ

ga	が	ガ
gi	ぎ	ギ
gu	ぐ	グ
ge	げ	ゲ
go	ご	ゴ

za	ざ	ザ
zi	じ	ジ
zu	ず	ズ
ze	ぜ	ゼ
zo	ぞ	ゾ

da	だ	ダ
di	ぢ	ヂ
du	づ	ヅ
de	で	デ
do	ど	ド

ba	ば	バ
bi	び	ビ
bu	ぶ	ブ
be	べ	ベ
bo	ぼ	ボ

pa	ぱ	パ
pi	ぴ	ピ
pu	ぷ	プ
pe	ぺ	ペ
po	ぽ	ポ

kya	きゃ	キャ
kyu	きゅ	キュ
kye	きぇ	キェ
kyo	きょ	キョ

kga	きゃ	キャ
kgu	きゅ	キュ
kge	きぇ	キェ
kgo	きょ	キョ

sya	しゃ	シャ
syu	しゅ	シュ
sye	しぇ	シェ
syo	しょ	ショ

xa	しゃ	シャ
xu	しゅ	シュ
xe	しぇ	シェ
xo	しょ	ショ

tya	ちゃ	チャ
tyu	ちゅ	チュ
tye	ちぇ	チェ
tyo	ちょ	チョ

ca	ちゃ	チャ
cu	ちゅ	チュ
ce	ちぇ	チェ
co	ちょ	チョ

nya	にゃ	ニャ
nyu	にゅ	ニュ
nye	にぇ	ニェ
nyo	にょ	ニョ

nga	にゃ	ニャ
ngu	にゅ	ニュ
nge	にぇ	ニェ
ngo	にょ	ニョ

hya	ひゃ	ヒャ
hyu	ひゅ	ヒュ
hye	ひぇ	ヒェ
hyo	ひょ	ヒョ

hga	ひゃ	ヒャ
hgu	ひゅ	ヒュ
hge	ひぇ	ヒェ
hgo	ひょ	ヒョ

mya	みゃ	ミャ
myu	みゅ	ミュ
mye	みぇ	ミェ
myo	みょ	ミョ

mga	みゃ	ミャ
mgu	みゅ	ミュ
mge	みぇ	ミェ
mgo	みょ	ミョ

rya	りゃ	リャ
ryu	りゅ	リュ
rye	りぇ	リェ
ryo	りょ	リョ

gya	ぎゃ	ギャ
gyu	ぎゅ	ギュ
gye	ぎぇ	ギェ
gyo	ぎょ	ギョ

zya	じゃ	ジャ
zyu	じゅ	ジュ
zye	じぇ	ジェ
zyo	じょ	ジョ

ja	じゃ	ジャ
ju	じゅ	ジュ
je	じぇ	ジェ
jo	じょ	ジョ
ji	じ	ジ

bya	びゃ	ビャ
byu	びゅ	ビュ
bye	びぇ	ビェ
byo	びょ	ビョ

pya	ぴゃ	ピャ
pyu	ぴゅ	ピュ
pye	ぴぇ	ピェ
pyo	ぴょ	ピョ

pga	ぴゃ	ピャ
pgu	ぴゅ	ピュ
pge	ぴぇ	ピェ
pgo	ぴょ	ピョ

fa	ふぁ	ファ
fi	ふぃ	フィ
fu	ふ	フ
fe	ふぇ	フェ
fo	ふぉ	フォ

va	ヴぁ	ヴァ
vi	ヴぃ	ヴィ
vu	ヴ	ヴ
ve	ヴぇ	ヴェ
vo	ヴぉ	ヴォ

tgi	てぃ	
tgu	とぅ	

dci	でぃ	
dcu	どぅ	

wso	うぉ	

la	ぁ	
li	ぃ	
lu	ぅ	
le	ぇ	
lo	ぉ	
lya	ゃ	
lyu	ゅ	
lyo	ょ	

;	っ	;
q	ん	
nn	ん	ン
-	ー	ー
:	ー	:

~	〜	~
.	。	。
,	、	、
z/	・	・
z.	…	…
z,	‥	‥
z-	〜	～
z[	『	『
z]	』	』
[	「	「
]	」	」

kz	かん	
kn	かん	
kk	きん	
kj	くん	
kd	けん	
kl	こん	

sz	さん	
sn	さん	
sk	しん	
sj	すん	
sd	せん	
sl	そん	

tz	たん	
tn	たん	
tk	ちん	
tj	つん	
td	てん	
tl	とん	

nz	なん	
nk	にん	
nj	ぬん	
nd	ねん	
nl	のん	

hz	はん	
hn	はん	
hk	ひん	
hj	ふん	
hd	へん	
hl	ほん	

mz	まん	
mk	みん	
mj	むん	
md	めん	
ml	もん	

yz	やん	
yn	やん	
yj	ゆん	
yl	よん	

rz	らん	
rn	らん	
rk	りん	
rj	るん	
rd	れん	
rl	ろん	

wz	わん	
wn	わん	
wk	うぃん	
wd	うぇん	
wl	うぉん	

gz	がん	
gn	がん	
gk	ぎん	
gj	ぐん	
gd	げん	
gl	ごん	

zz	ざん	
zn	ざん	
zk	じん	
zj	ずん	
zd	ぜん	
zl	ぞん	

dz	だん	
dn	だん	
dk	ぢん	
dj	づん	
dd	でん	
dl	どん	

bz	ばん	
bn	ばん	
bk	びん	
bj	ぶん	
bd	べん	
bl	ぼん	

pz	ぱん	
pn	ぱん	
pk	ぴん	
pj	ぷん	
pd	ぺん	
pl	ぽん	

kyz	きゃん	
kyn	きゃん	
kyj	きゅん	
kyd	きぇん	
kyl	きょん	

kgz	きゃん	
kgn	きゃん	
kgj	きゅん	
kgd	きぇん	
kgl	きょん	

syz	しゃん	
syn	しゃん	
syj	しゅん	
syd	しぇん	
syl	しょん	

xz	しゃん	
xn	しゃん	
xj	しゅん	
